Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13296.8474,NA,6.58520000000000,6.63060000000000,0.13590000000000,0.46670000000000,0.4767,NA,13290.4328,6.5505,6.4146,0.1359,0.1865,6.6948,0.7583,5.9365,0.0451,13290.4328,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13303.5643,NA,6.71690000000000,6.69060000000000,0.18210000000000,0.43990000000000,0.4504,NA,13296.9833,6.7631,6.5810,0.1821,0.3308,6.6901,0.6782,6.0119,-0.1401,13296.9833,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13310.4105,NA,6.84620000000000,6.79830000000000,0.17090000000000,0.39350000000000,0.4025,NA,13303.7464,6.8350,6.6641,0.1709,0.2578,6.7998,0.6809,6.1189,-0.0352,13303.7464,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13316.9994,NA,6.58890000000000,6.61040000000000,0.16930000000000,0.41710000000000,0.4240,NA,13310.5814,6.5873,6.4180,0.1693,0.2226,6.6125,0.7170,5.8955,0.2246,13310.5814,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13323.5340,NA,6.53460000000000,6.88320000000000,0.14060000000000,0.76530000000000,0.7726,NA,13317.1687,6.5059,6.3653,0.1406,0.2478,6.8828,0.9700,5.9128,-0.2959,13317.1687,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13330.2557,NA,6.72170000000000,6.41820000000000,0.23650000000000,0.46050000000000,0.4691,NA,13323.6746,6.8176,6.5811,0.2365,0.6247,6.4169,0.6858,5.7311,0.0877,13323.6746,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13336.8696,NA,6.61390000000000,6.62540000000000,0.14440000000000,0.47340000000000,0.4806,NA,13330.4922,6.5218,6.3774,0.1444,0.2240,6.6268,0.6708,5.9560,0.1922,13330.4922,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13343.4942,NA,6.62460000000000,6.72390000000000,0.14060000000000,0.49930000000000,0.5799,NA,13337.0140,6.6208,6.4802,0.1406,0.3290,6.6505,0.6905,5.9600,-0.2021,13337.0140,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13350.1808,NA,6.68660000000000,6.60190000000000,0.23090000000000,0.41320000000000,0.4952,NA,13343.6348,6.7769,6.5460,0.2309,0.3587,6.6005,0.6181,5.9824,0.0189,13343.6348,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13356.8144,NA,6.63360000000000,6.61420000000000,0.13070000000000,0.40810000000000,0.4758,NA,13350.4117,6.5334,6.4027,0.1307,0.1823,6.6285,0.5884,6.0401,0.1627,13350.4117,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13363.4613,NA,6.64690000000000,6.69410000000000,0.16140000000000,0.51410000000000,0.5230,NA,13356.9451,6.6776,6.5162,0.1614,0.2774,6.7529,0.6958,6.0571,-0.1607,13356.9451,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13371.2029,NA,7.74160000000000,7.62750000000000,0.17920000000000,0.39790000000000,0.4089,NA,13363.6227,7.7594,7.5802,0.1792,0.3527,7.6254,0.6954,6.9300,-0.9499,13363.6227,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13377.0036,NA,5.80070000000000,5.89230000000000,0.18580000000000,0.42760000000000,0.5005,NA,13371.3821,5.8073,5.6215,0.1858,0.2187,5.8304,0.6737,5.1567,1.8671,13371.3821,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13383.6847,NA,6.68110000000000,6.77690000000000,0.17160000000000,0.58930000000000,0.5963,NA,13377.1894,6.6669,6.4953,0.1716,0.2418,6.8428,0.8748,5.9680,-0.9696,13377.1894,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13390.2052,NA,6.52050000000000,6.41600000000000,0.13630000000000,0.48450000000000,0.4918,NA,13383.8563,6.4852,6.3489,0.1363,0.4177,6.4157,0.6910,5.7247,0.2509,13383.8563,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13396.8794,NA,6.67420000000000,6.71040000000000,0.16860000000000,0.51940000000000,0.5280,NA,13390.3415,6.7065,6.5379,0.1686,0.3482,6.7091,0.7262,5.9829,-0.2252,13390.3415,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13403.5323,NA,6.65290000000000,6.59830000000000,0.14830000000000,0.39030000000000,0.4734,NA,13397.0480,6.6326,6.4843,0.1483,0.3508,6.5238,0.5994,5.9244,0.1082,13397.0480,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13410.2657,NA,6.73340000000000,6.94680000000000,0.14420000000000,0.60110000000000,0.6868,NA,13403.6806,6.7293,6.5851,0.1442,0.2420,6.9442,0.8432,6.1010,-0.3142,13403.6806,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13417.1655,NA,6.89980000000000,6.65470000000000,0.16220000000000,0.35830000000000,0.4417,NA,13410.4099,6.9178,6.7556,0.1622,0.4569,6.6570,0.8674,5.7896,0.0746,13410.4099,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13423.5095,NA,6.34400000000000,6.35970000000000,0.19030000000000,0.38520000000000,0.4574,NA,13417.3277,6.3721,6.1818,0.1903,0.1961,6.3709,0.5838,5.7871,0.5581,13417.3277,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13430.2119,NA,6.70240000000000,6.70030000000000,0.17550000000000,0.44590000000000,0.4553,NA,13423.6998,6.6876,6.5121,0.1755,0.1949,6.7631,0.6802,6.0829,-0.3282,13423.6998,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13436.9832,NA,6.77130000000000,6.73490000000000,0.17180000000000,0.40990000000000,0.4189,NA,13430.3874,6.7676,6.5958,0.1718,0.2704,6.7353,0.6933,6.0420,-0.0473,13430.3874,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13443.5033,NA,6.52010000000000,6.61730000000000,0.13950000000000,0.50200000000000,0.5161,NA,13437.1550,6.4878,6.3483,0.1395,0.2381,6.6122,0.7303,5.8819,0.1503,13437.1550,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13450.9711,NA,7.46780000000000,7.34960000000000,0.17970000000000,0.27760000000000,0.3979,NA,13443.6428,7.5080,7.3283,0.1797,0.3625,7.2434,0.6543,6.5891,-0.8618,13443.6428,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,1,Hardware Composed: Independent Flip,13456.9664,NA,5.99530000000000,6.03580000000000,0.16510000000000,0.35780000000000,0.4384,NA,13451.1508,5.9807,5.8156,0.1651,0.0979,6.0755,0.6091,5.4664,1.4722,13451.1508,NA,NA
