Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,120.4230,NA,6.74480000000000,4.17720000000000,0.09710000000000,0.62470000000000,6.4189,NA,113.8263,6.6938,6.5967,0.0971,6.4185,0.8029,0.7818,0.0211,2.3707,113.8263,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,127.5087,NA,7.08570000000000,8.32390000000000,0.19340000000000,0.38840000000000,7.6571,NA,120.5201,7.1820,6.9886,0.1934,6.6552,0.7218,0.7011,0.0207,-1.6301,120.5201,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,133.9454,NA,6.43670000000000,6.92670000000000,0.11410000000000,0.42600000000000,8.1471,NA,127.7021,6.3574,6.2433,0.1141,6.0649,0.6044,0.5872,0.0172,0.2553,127.7021,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,140.5121,NA,6.56670000000000,5.56920000000000,0.12300000000000,0.37460000000000,7.1496,NA,134.0595,6.5756,6.4526,0.1230,6.0777,0.7495,0.7302,0.0193,0.7882,134.0595,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,147.1948,NA,6.68270000000000,8.32740000000000,0.16930000000000,0.38890000000000,8.7943,NA,140.6351,6.7290,6.5597,0.1693,6.3323,0.6163,0.5976,0.0187,-1.7518,140.6351,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,153.7855,NA,6.59070000000000,4.18160000000000,0.09800000000000,0.62490000000000,6.3852,NA,147.3641,6.5194,6.4214,0.0980,6.2104,0.8359,0.8205,0.0154,2.5474,147.3641,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,160.3693,NA,6.58380000000000,8.31670000000000,0.09680000000000,0.34880000000000,8.1181,NA,153.8835,6.5826,6.4858,0.0968,6.2186,0.6160,0.5971,0.0189,-1.7973,153.8835,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,167.0397,NA,6.67040000000000,6.93310000000000,0.09860000000000,0.43670000000000,8.3808,NA,160.4661,6.6722,6.5736,0.0986,6.4102,0.6001,0.5818,0.0183,-0.3505,160.4661,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,173.6283,NA,6.58860000000000,5.57220000000000,0.15110000000000,0.66720000000000,7.3644,NA,167.1383,6.6411,6.4900,0.1511,6.3261,0.8311,0.8172,0.0139,1.1000,167.1383,NA,NA
NMS.exe,14928,0x24E59D4B510,DXGI,0,512,0,Composed: Flip,180.4068,NA,6.77850000000000,8.33020000000000,0.14320000000000,0.40180000000000,8.9161,NA,173.7794,6.7706,6.6274,0.1432,6.4150,0.6142,0.5941,0.0201,-1.6891,173.7794,NA,NA
